sent,Given_label,Predicted_label
Pls make me remind at least 30 mnts before,least 30 mnts,Not Found
Please end all my remainders upto now,my remainders upto,my remainders
After 11:30 pls,Not Found,Not Found
I need a reminder to eat at 7:30 pm pls,eat,need a
Plz send me a reminder to take ideals lecture,take ideals lecture,send me a
Remind me on 1 Dec,Not Found,Not Found
Remind me,Not Found,Not Found
Remind me to on the geyser at 7 :10,on the geyser,on the geyser
Can u help me remember every Tuesday to pack an extra lunch dabha,pack an extra lunch dabha,pack an extra lunch dabha
Can you remind me for my diet too?,my diet too,Not Found
Remember me,Not Found,Not Found
7726864121,Not Found,Not Found
"Please setup a reminder to remind ginni to ""exchange"" on this Friday at 6 pm","remind ginni to ""exchange""",setup a
Remind me to do task1,do task1,Not Found
To wish deepa case on 4th jan for her birthday,wish deepa case on 4th jan for her birthday,wish deepa case
Can you keep the alarm for all days a week?,Not Found,keep the alarm
Reminder to start physics,start physics,start physics
Remind for monday english paper on morning 5 am,english paper,for english paper
Thanks for d reminder,Not Found,for d
I have change this reminder to 9 am,Not Found,have change
Can i have it scheduled on every weekday?,Not Found,scheduled on every weekday
Remind me to go to work in 10 minutes,go to work,Not Found
2 call sada @7.25pm today,Not Found,call sada
"6, 6:05, 6:10, 6:15.. four wakeup calls..",four wakeup calls,wakeup calls..
Thanks :),Not Found,Not Found
Mere 5 min m cl krna golu ko bday wish krna h,Not Found,m cl krna golu ko
I*,Not Found,Not Found
Remind me for shopping on 5 December,shopping,Not Found
Gud afternoon,Not Found,Gud afternoon
Can you please set alarm on my alternate phone?,my alternate phone,my alternate phone
Please remind me to encash my Post Office KVP money.,encash my Post Office KVP money,encash my Post Office KVP money
Remind me that I have an appointment on 25th November,appointment,have an appointment
I want it to be set at 4.00 am as well,Not Found,Not Found
Can u plz remind me at 11.30pm for bd wish.,bd wish,for bd wish
Can you remind me to exercise,exercise,Not Found
Hey thanks.. If required I shall get back,If required I shall get back,Not Found
Remind me to complete Ac layout of 10th floor and send it to gauri tomorrow,complete Ac layout of 10th floor and send it to gauri,complete Ac layout
Remind me for sangeet sandhya at tomorrow 5. Pm,sangeet sandhya,me for sangeet sandhya
What reminder set on today 12:09pm,What reminder set,set on
Remind me on 4th to start treatment of dysmenorrhea,start treatment of dysmenorrhea,start treatment
27th June 2017 @ 12:00 am,Not Found,Not Found
Reminder for laundry,laundry,for laundry
I want a call at 8am,I want a call,want a call
2:30 pm about what?,what?,Not Found
Tk,Not Found,Not Found
Tommrow remind me,Not Found,Not Found
Set reminder for 9.30 to alphanso school,9.30 to alphanso school,alphanso school
Nothing as of now.... thnx fr d alarm....,Nothing and thnx fr d alarm,thnx fr d alarm
Change my schedule,Not Found,my schedule
"Remind me to pay Mr. Solomon ""the handsome guy"" Rs 300 on Tuesday 8pm sharp.","pay Mr. Solomon ""the handsome guy"" Rs 300",pay Mr. Solomon
Remind me on 11th January for Ichilkaranji court work,Ichilkaranji court work,for Ichilkaranji court work
Hey... Reminde me tomorrow at 2:30,Not Found,Not Found
Remind me at 8:00 pm for economic studies,economic studies,for economic studies
Can u plz again schedule it for 7.15 as well,Not Found,again schedule
I want to set reminders for daily meal,Not Found,for daily meal
Thanks for the remainder,Not Found,for the remainder
ThankU fr ur reminders😊,ur reminders,ThankU fr ur reminders😊
Can you change reminder time,Not Found,change time
Reminder to go to tuition,go to tuition,Not Found
Remind me to buy general store things at today 9:00 pm,buy general store things,buy general store things
I want remainder in every 1 hour,Not Found,want remainder
Remind me to book a tatkal ticket tomorrow at 9:50am,book a tatkal ticket,a tatkal ticket
Remind me to book movie tickets tomorrow at 11.30pm,book movie tickets,book movie tickets
Dude just set an alarm for 6:30am,Not Found,set an alarm
Bro can u pls cancle the 10:30 alarm,Not Found,u pls cancle
Remind me to go SALASAR BAJRANG BALI BABA on today at 3 am,go SALASAR BAJRANG BALI BABA,go SALASAR BAJRANG BALI BABA
i want to know about this app,know about this app,know about this app
My sisters birthday on 22 Feb can you reminds me?,My sisters birthday,My sisters
Remind me in tomorrow morning I have a admin day ahead,I have a admin day ahead,have a admin day
Good morning Anjali,Not Found,Good morning Anjali
Tomorrow I have more commitment so plz remind the following porgrams,more commitment so,the following porgrams
Plz unschedule alarm,Not Found,unschedule alarm
Remind me to collect all documents for afcat at 2300hrs today,collect all documents for afcat,collect all documents
remember me every yr,Not Found,remember me every yr
Can u set a reminder for 6 pm every day,Not Found,set a
Which remainder,Not Found,Which remainder
Till what time we can set reminders,we can set reminders,set reminders
Gm I woke up so do need of the alarm,Not Found,so do need
I search about shopping,Not Found,search about shopping
Remind me tomorrow at 12:30 pm to bring a new ph cover,bring a new ph cover,bring a new ph cover
Remind me to buy eggs at 5:25 pm today,buy eggs,buy eggs
Sorry please schedule it for friday,Not Found,Sorry please schedule
hey thanks for d reminder.,Not Found,hey thanks
Set a reminder for today today morning 6:10 am that I have to give a cheque of 1500,give a cheque of 1500,give a cheque
How will you remind me on that day,How,me on that day
Remind me everyday as usual,Not Found,Not Found
"u can just remind me, but how can i remember that wt work i have scheduled..??",wt work i have scheduled..??,remember that wt work i
Remind me to Check ayushi's website on laptop At 9am tommorrow,Check ayushi's website on laptop,Check ayushi
Remind me tonite at 11:45 pm abt Gaurav's birthday,Gaurav's birthday,abt Gaurav
You can set d reminder with above mentioned details,with above mentioned details,set d
Thanks fr ur reminder,Not Found,fr ur
Reminder to have fosavance,have fosavance,have fosavance
Can I set other reminders too ?,Not Found,set other reminders
Remind me at 8:00am on 12th nov. Boss is traveling at 11:05 am from Mumbai to 19:50 Singapore halt and then to Melbourne at 7:45am,Boss and Melbourne,nov. Boss
Please remind me to order food for mum at 9,order food for mum,order food
I want to put another alarm,put another alarm,put another alarm
Remind me to buy groceries from store at 7 pm,Not Found,buy groceries
Remind me to get XS3 at 6:20,get XS3,get XS3
Pls remind me of the following tomorrow & track it till it's done. Even if it takes a month,takes a month,me of the following
Reminder on 14 nov supermoon,Not Found,nov supermoon
Remind me to sleep before 11,sleep,Not Found
You can call on 9015525571,You can call,Not Found
Please remind me from 1 PM to 10 PM,Not Found,Not Found
Remind me on 26th that i have to attend a event on 27th 12 to 1,attend,attend a event
Happy birthday My Sweet hearts 😍,Happy birthday My Sweet hearts,Happy birthday My Sweet hearts 😍
I want two calls,Not Found,Not Found
Ma'am please set my reminder,Not Found,Ma'am please
Could you please remind me to make a to do list at around 11 pm tonight,make a to do list,do list
Remind me to book movie tickets or plan for the weekend.,book movie tickets or plan for the weekend,book movie tickets
Hi! Please remind me to watch KWK at 8:55pm today,watch KWK,watch KWK
I want to st another reminder,st another reminder,st another
I want to know about good gynecologist,know about good gynecologist,know about good gynecologist
"Also, the monthly maintenance payment has be handed over before 20th every month so a reminder on 15th every month is good.","Also, the monthly maintenance payment and be handed over",the monthly maintenance payment
I need to reminder my studies,my studies,my studies
Pls remind me to eat food at 3 :34,eat food,eat food
How r u going to remind me?,Not Found,Not Found
Could u give me details about sunburn echo Vizag,give me details about sunburn echo Vizag,about sunburn echo Vizag
Thanks for the remainders,the remainders,for the remainders
Remind me around 7.10pm,Not Found,Not Found
May I set more than one reminder,Not Found,Not Found
Hey Puneet. Could you please remind me to go to the medical store tomorrow morning at 9 AM ?,go to the medical store,the medical store morning
Remind me today at 10:30 am to coordinate ABRL packing consultant,coordinate ABRL packing consultant,coordinate ABRL
Did i said any reminder,Not Found,Did i
Please remind me to have a lunch at 1:15 Pm today,have a lunch,have a lunch
Remind me to take my music notes,take my music notes,take my music notes
can I change the ring tone your call,Not Found,ring tone
For reminding me,reminding me,Not Found
Remind me on tomorrow,Not Found,me on
Can you help me with study schedule too,Not Found,help me with study schedule
plz remind me tomorrow about to submit itr,submit itr,submit itr
Remind me to boil chhole at 1pm on 2nd December,boil chhole,boil chhole
Thanks for Reminding me.,Not Found,Not Found
Can i know about your privacy policy..,about your privacy policy,your privacy policy..
Pls remind me tomorrow by 10 30am to make cal Dheerandra about asking forex thing,make cal Dheerandra about asking forex thing,make cal Dheerandra
Plz remind on Monday transfer in account,transfer in account,on transfer
Can you send a voice reminder,Not Found,send a voice
Need a reminder in every 30mins that I need to be successful,be successful,Need a
Have u any idea about afcat,any idea about afcat,any idea
"2-1-17 at 12.30pm, 1pm (2 Reminders) Chirayu",(2 Reminders) Chirayu,Not Found
Can u set an alarm,Not Found,set an alarm
Drop me a reminder on Friday 6 Jan and Sunday 8 Jan at 6pm and 11 am respectively,Not Found,me a
